key,country,site,cluster,plot,siteid,longitude,latitude,year,plotcultmgd,postoposeq,vegstructure,severeero,rdr50,trees,shrubs,cropland,forest,grassland,wooded_grassland,grasslandall,bushland,shrubland,wetland,dom_landuse,shheight,shlength,shwidth,scientificName,shrubspecies_common,key_1,subplot
uuid:dc040083-7f1c-46df-b73a-37d7068d1d14,sri_lanka,matale,2,9,matale_2_9,80.6063,7.54757,2021,1,midslope,woodland,0,0,1,1,0,0,0,0,0,0,0,0,perennial_agroforestry,2.3,1.0,0.9,Clerodendrum infortunatum,gas pinna,uuid:dc040083-7f1c-46df-b73a-37d7068d1d14/supl1_shrb_data[4],1
uuid:dc040083-7f1c-46df-b73a-37d7068d1d14,sri_lanka,matale,2,9,matale_2_9,80.6063,7.54757,2021,1,midslope,woodland,0,0,1,1,0,0,0,0,0,0,0,0,perennial_agroforestry,2.4,1.2,1.2,Coffea arabica,kopi,uuid:dc040083-7f1c-46df-b73a-37d7068d1d14/supl1_shrb_data[5],1
uuid:dc040083-7f1c-46df-b73a-37d7068d1d14,sri_lanka,matale,2,9,matale_2_9,80.6063,7.54757,2021,1,midslope,woodland,0,0,1,1,0,0,0,0,0,0,0,0,perennial_agroforestry,1.8,0.7,0.6,Coffea arabica,kopi,uuid:dc040083-7f1c-46df-b73a-37d7068d1d14/supl1_shrb_data[6],1
uuid:6fadae62-7343-4691-80d6-aaa440e315f8,sri_lanka,matale,3,14,matale_3_14,80.6082,7.57141,2021,1,midslope,bushland,1,0,1,1,0,0,0,0,0,1,0,0,perennial_crop,2.6,2.2,1.4,Hibiscus rosa-sinensis,wada,uuid:6fadae62-7343-4691-80d6-aaa440e315f8/supl1_shrb_data[1],1
uuid:b0a37552-2716-4b21-9edb-0b861b643547,sri_lanka,matale,16,4,matale_16_4,80.6702,7.58656,2021,0,bottomland,freshwater_aquatic,0,0,1,1,0,0,0,0,0,0,0,1,protected_area,2.1,0.7,0.6,Ficus hispida,kota dimbula,uuid:b0a37552-2716-4b21-9edb-0b861b643547/supl1_shrb_data[1],1
uuid:b0a37552-2716-4b21-9edb-0b861b643547,sri_lanka,matale,16,4,matale_16_4,80.6702,7.58656,2021,0,bottomland,freshwater_aquatic,0,0,1,1,0,0,0,0,0,0,0,1,protected_area,1.7,0.9,0.6,Streblus taxoides,gon gotu,uuid:b0a37552-2716-4b21-9edb-0b861b643547/supl1_shrb_data[2],1
uuid:b0a37552-2716-4b21-9edb-0b861b643547,sri_lanka,matale,16,4,matale_16_4,80.6702,7.58656,2021,0,bottomland,freshwater_aquatic,0,0,1,1,0,0,0,0,0,0,0,1,protected_area,2.4,1.5,1.1,Mallotus philippensis,molabe,uuid:b0a37552-2716-4b21-9edb-0b861b643547/supl1_shrb_data[3],1
uuid:7d6efe08-c8d7-4105-ae3d-1994e29fe711,sri_lanka,matale,7,13,matale_7_13,80.6212,7.56253,2021,1,ridge_crest,bushland,0,1,1,1,0,0,0,0,0,1,0,0,perennial_crop,2.4,1.2,0.8,Swietenia macrophylla,mahogany,uuid:7d6efe08-c8d7-4105-ae3d-1994e29fe711/supl1_shrb_data[1],1
uuid:7d6efe08-c8d7-4105-ae3d-1994e29fe711,sri_lanka,matale,7,13,matale_7_13,80.6212,7.56253,2021,1,ridge_crest,bushland,0,1,1,1,0,0,0,0,0,1,0,0,perennial_crop,2.2,1.0,0.8,Macaranga peltata,kenda,uuid:7d6efe08-c8d7-4105-ae3d-1994e29fe711/supl1_shrb_data[2],1
uuid:7d6efe08-c8d7-4105-ae3d-1994e29fe711,sri_lanka,matale,7,13,matale_7_13,80.6212,7.56253,2021,1,ridge_crest,bushland,0,1,1,1,0,0,0,0,0,1,0,0,perennial_crop,1.7,1.5,1.2,Vitex altissima,milla,uuid:7d6efe08-c8d7-4105-ae3d-1994e29fe711/supl1_shrb_data[3],1
