"","key","country","site","cluster","plot","siteid","longitude","latitude","year","plotcultmgd","postoposeq","vegstructure","severeero","rdr50","trees","shrubs","cropland","forest","grassland","wooded_grassland","grasslandall","bushland","shrubland","wetland","dom_landuse"
"28","uuid:8dbc1f0e-b0dc-4784-ac1d-8dcac4769827","sri_lanka","kandy",3,13,"kandy_3_13",80.8103,7.35562,2024,1,"midslope","shrubland",1,1,1,1,0,0,0,0,0,0,1,0,"perennial_crop"
"29","uuid:40d86faf-abb2-43df-9000-a1130275793b","sri_lanka","kandy",3,14,"kandy_3_14",80.8085,7.35385,2024,1,"midslope","shrubland",1,0,0,0,0,0,0,0,0,0,1,0,"other"
"30","uuid:46c7d70b-f7c3-4169-9239-1a437b89ee63","sri_lanka","kandy",3,15,"kandy_3_15",80.8052,7.35176,2024,0,"bottomland","grassland",1,1,1,1,0,0,1,0,1,0,0,0,"other"
"31","uuid:266c44d9-4b39-46c8-84be-3dd917f967f1","sri_lanka","kandy",4,1,"kandy_4_1",80.8042,7.37849,2024,0,"midslope","grassland",1,1,1,0,0,0,1,0,1,0,0,0,"other"
"32","uuid:8580794b-496a-4096-bd79-13a351f0ed84","sri_lanka","kandy",4,3,"kandy_4_3",80.8048,7.38004,2024,0,"midslope","shrubland",1,0,0,1,0,0,0,0,0,0,1,0,"other"
"33","uuid:eb269fbc-7da6-4b6d-8f61-b47d1118e652","sri_lanka","kandy",4,4,"kandy_4_4",80.8043,7.37937,2024,0,"midslope","grassland",1,1,1,1,0,0,1,0,1,0,0,0,"other"
"34","uuid:0d8465d9-5c92-425a-816d-f7f584539a58","sri_lanka","kandy",4,5,"kandy_4_5",80.8026,7.37413,2024,0,"midslope","grassland",0,1,0,1,0,0,1,0,1,0,0,0,"other"
"35","uuid:9c11910e-bd0b-4d66-8609-9b4d5405ee40","sri_lanka","kandy",4,6,"kandy_4_6",80.8007,7.37909,2024,0,"midslope","shrubland",1,0,0,0,0,0,0,0,0,0,1,0,"other"
"36","uuid:101ac7e1-3bee-4641-ad8d-16e94bc7656c","sri_lanka","kandy",4,7,"kandy_4_7",80.7984,7.37806,2024,0,"midslope","forest",1,1,1,1,0,1,0,0,0,0,0,0,"other"
"37","uuid:7326e602-59f9-4221-8db4-f8e4986ffa9f","sri_lanka","kandy",4,8,"kandy_4_8",80.8005,7.37502,2024,0,"midslope","other",0,1,1,1,0,0,0,0,0,0,0,0,"other"
"38","uuid:db3402ef-c1ba-4d08-bf3d-5d57f44cb5ff","sri_lanka","kandy",4,12,"kandy_4_12",80.7975,7.37761,2024,0,"midslope","wooded_grassland",1,1,1,0,0,0,0,1,1,0,0,0,"other"
"39","uuid:92c00fb7-ebc8-46cf-9764-42792656eaca","sri_lanka","kandy",4,14,"kandy_4_14",80.8046,7.37832,2024,0,"midslope","grassland",1,0,0,0,0,0,1,0,1,0,0,0,"other"
"40","uuid:589ea789-e4b9-4ba4-aab6-25e7f74442e4","sri_lanka","kandy",4,15,"kandy_4_15",80.8022,7.37439,2024,0,"midslope","grassland",1,1,0,1,0,0,1,0,1,0,0,0,"other"
"41","uuid:52e48a26-f68b-49cc-a7af-b411b5b0a2fa","sri_lanka","kandy",5,2,"kandy_5_2",80.8299,7.31314,2024,0,"midslope","shrubland",1,1,1,1,0,0,0,0,0,0,1,0,"other"
"42","uuid:297133f0-3fd4-4d07-ae0c-7997d2604c0e","sri_lanka","kandy",5,3,"kandy_5_3",80.8312,7.30651,2024,0,"midslope","grassland",1,0,1,1,0,0,1,0,1,0,0,0,"other"
"43","uuid:b31eb17e-ba82-43ad-a8fe-aca2a79b4eec","sri_lanka","kandy",5,5,"kandy_5_5",80.8246,7.31324,2024,1,"midslope","shrubland",1,0,1,1,0,0,0,0,0,0,1,0,"perennial_crop"
"44","uuid:d30c03c4-6100-488e-9031-724da5daee67","sri_lanka","kandy",5,6,"kandy_5_6",80.8247,7.305,2024,0,"midslope","grassland",1,1,1,1,0,0,1,0,1,0,0,0,"other"
"45","uuid:c2bd489a-0ea9-4337-a1f3-e006f8a069ca","sri_lanka","kandy",5,7,"kandy_5_7",80.8275,7.30709,2024,0,"midslope","wooded_grassland",1,0,1,1,0,0,0,1,1,0,0,0,"other"
"46","uuid:1d08642b-72a8-414e-b307-8e614e8609ce","sri_lanka","kandy",5,8,"kandy_5_8",80.8256,7.30662,2024,1,"midslope","shrubland",1,0,1,1,0,0,0,0,0,0,1,0,"perennial_crop"
"47","uuid:8ac98ef1-62b9-4ecf-a847-32eedd314dfb","sri_lanka","kandy",5,9,"kandy_5_9",80.8249,7.3082,2024,1,"midslope","shrubland",1,1,1,0,0,0,0,0,0,0,1,0,"perennial_crop"
"48","uuid:b63f6068-b47f-4679-8f5e-6085ab842d64","sri_lanka","kandy",5,10,"kandy_5_10",80.8282,7.31386,2024,0,"midslope","shrubland",1,1,1,1,0,0,0,0,0,0,1,0,"other"
"49","uuid:6e6019e6-d1d1-41f4-81cd-4cc0688c408e","sri_lanka","kandy",5,14,"kandy_5_14",80.8297,7.31316,2024,0,"midslope","shrubland",0,0,1,1,0,0,0,0,0,0,1,0,"fallow"
"50","uuid:4e1d3847-b996-4c4d-9289-9e83ec6ea923","sri_lanka","kandy",6,2,"kandy_6_2",80.8214,7.33241,2024,0,"ridge_crest","forest",1,0,1,1,0,1,0,0,0,0,0,0,"protected_area"
"51","uuid:acb3a25f-65a4-4287-9a88-0822b6694b4d","sri_lanka","kandy",6,3,"kandy_6_3",80.8313,7.33688,2024,0,"ridge_crest","woodland",1,0,1,1,0,0,0,0,0,0,0,0,"woodlot"
"52","uuid:98e914d9-d567-4b20-9842-069f8002d790","sri_lanka","kandy",6,4,"kandy_6_4",80.8269,7.33337,2024,0,"midslope","shrubland",1,0,1,1,0,0,0,0,0,0,1,0,"fallow"
"53","uuid:4b90e712-45b4-4dca-8256-2e05adb483ec","sri_lanka","kandy",6,5,"kandy_6_5",80.8235,7.33081,2024,1,"midslope","woodland",1,1,1,1,0,0,0,0,0,0,0,0,"woodlot"
"54","uuid:7de1260f-1d92-409c-9e31-efa0b92314df","sri_lanka","kandy",6,8,"kandy_6_8",80.8225,7.33708,2024,0,"midslope","grassland",1,0,1,1,0,0,1,0,1,0,0,0,"protected_area"
